# enabled	priority	task	config	run_name	epochs	batch_size	eval_episodes	note
1	10	close_box	experiments/close_box_sameenv_volumedp_full_dinov3_depth_lora8_jpabs_w2_grid16_gripw4.yaml	close_volumedp_jpabs_w2_grid16_gripw4_mgr_e100_s0	100	16	20	close_replay_jp_abs_2of3
1	20	scoop_with_spatula	experiments/scoop_sameenv_volumedp_full_dinov3_depth_lora8_jpabs_w2_grid16_gripw4.yaml	scoop_volumedp_jpabs_w2_grid16_gripw4_mgr_e100_s0	100	16	20	scoop_replay_jp_abs_3of3
1	30	insert_onto_square_peg	experiments/insert_sameenv_volumedp_full_dinov3_depth_lora8_jpabs_w2_grid16_gripw4.yaml	insert_volumedp_jpabs_w2_grid16_gripw4_mgr_e100_s0	100	16	20	insert_replay_jp_abs_3of3
1	40	slide_block_to_target	experiments/slide_block_to_target_sameenv_volumedp_full_dinov3_depth_lora8_jpabs_w2_grid16_gripw4.yaml	slide_volumedp_jpabs_w2_grid16_gripw4_mgr_e100_s0	100	16	20	slide_replay_jp_abs_3of3
