# enabled	priority	task	config	run_name	epochs	batch_size	eval_episodes	note
1	20	scoop_with_spatula	experiments/scoop_sameenv_volumedp_full_dinov3_depth_lora8_jpabs_w2_grid16_gripw4.yaml	scoop_volumedp_jpabs_w2_grid16_gripw4_mgr_e100_s0	100	16	20	scoop_replay_jp_abs_3of3
1	1000	close_box	experiments/action_search_autopilot_20260509/close_jpabs_w1_tight_gfilm_eeaux_gripw8_hyst.yaml	close_jpabs_w1_tight_gfilm_eeaux_gripw8_hyst_auto20260509_s0	120	16	20	replay_faithful_abs_hold1_lowdrop_gfilm_eeaux_hysteresis
1	1020	insert_onto_square_peg	experiments/action_search_autopilot_20260509/insert_jpabs_w1_tight_gfilm_eeaux_gripw8_hyst.yaml	insert_jpabs_w1_tight_gfilm_eeaux_gripw8_hyst_auto20260509_s0	120	16	20	replay_faithful_abs_hold1_lowdrop_gfilm_eeaux_hysteresis
