# enabled	priority	task	config	run_name	epochs	batch_size	eval_episodes	note
1	40	slide_block_to_target	experiments/slide_block_to_target_sameenv_volumedp_full_dinov3_depth_lora8_jpabs_w2_grid16_gripw4.yaml	slide_volumedp_jpabs_w2_grid16_gripw4_mgr_e100_s0	100	16	20	slide_replay_jp_abs_3of3
1	1010	scoop_with_spatula	experiments/action_search_autopilot_20260509/scoop_jpabs_w1_tight_gfilm_eeaux_gripw8_hyst.yaml	scoop_jpabs_w1_tight_gfilm_eeaux_gripw8_hyst_auto20260509_s0	120	16	20	replay_faithful_abs_hold1_lowdrop_gfilm_eeaux_hysteresis
1	1040	close_box	experiments/action_search_autopilot_20260509/close_jpabs_c4x2_tight_gfilm_eeaux_gripw8_hyst.yaml	close_jpabs_c4x2_tight_gfilm_eeaux_gripw8_hyst_auto20260509_s0	120	16	20	current_jpabs_chunk_but_lowdrop_gfilm_eeaux_hysteresis
